##;##
@LiveGraph demo file.
Generation;Best;Average;Avg.worst-100;Avg.worst-in-Generations 100
469;1087;1211;1465;2198
470;1087;1226;1543;2198
471;1087;1221;1512;2198
472;1087;1228;1549;2198
473;1087;1219;1499;2198
474;1087;1221;1519;2198
475;1087;1221;1512;2198
476;1087;1224;1530;2198
477;1087;1217;1497;2198
478;1087;1216;1496;2198
479;1087;1226;1542;2198
480;1087;1222;1524;2198
481;1087;1228;1551;2198
482;1087;1213;1479;2198
483;1087;1221;1517;2198
484;1087;1226;1544;2198
485;1087;1224;1537;2198
486;1087;1216;1502;2198
487;1087;1218;1518;2198
488;1087;1222;1535;2198
489;1087;1214;1502;2198
490;1087;1219;1521;2198
491;1087;1219;1522;2198
492;1087;1209;1472;2198
493;1087;1220;1532;2198
494;1087;1214;1504;2198
495;1087;1217;1516;2198
496;1087;1224;1551;2198
497;1087;1205;1457;2198
498;1087;1213;1501;2198
499;1087;1225;1568;2198
500;1086;1212;1493;2151
501;1086;1212;1503;2151
502;1086;1214;1512;2151
503;1086;1211;1500;2151
504;1086;1214;1513;2151
505;1086;1208;1488;2151
506;1086;1210;1498;2151
507;1086;1216;1520;2151
508;1086;1204;1465;2151
509;1086;1219;1538;2151
510;1086;1210;1497;2151
511;1086;1209;1494;2151
512;1086;1208;1494;2151
513;1086;1208;1497;2151
514;1086;1217;1538;2151
515;1086;1212;1510;2151
516;1086;1213;1522;2151
517;1086;1202;1472;2151
518;1086;1206;1492;2151
519;1086;1196;1445;2151
520;1086;1201;1472;2151
521;1086;1212;1519;2151
522;1086;1213;1522;2151
523;1086;1208;1504;2151
524;1086;1207;1504;2151
525;1086;1204;1491;2151
526;1086;1201;1478;2151
527;1086;1207;1501;2151
528;1086;1209;1508;2151
529;1086;1204;1494;2151
530;1086;1202;1491;2151
531;1086;1203;1489;2151
532;1086;1200;1472;2151
533;1086;1203;1487;2151
534;1086;1205;1502;2151
535;1086;1205;1498;2151
536;1086;1213;1535;2151
537;1086;1209;1516;2151
538;1086;1212;1540;2151
539;1086;1208;1517;2151
540;1086;1203;1487;2151
541;1086;1208;1515;2151
542;1086;1209;1515;2151
543;1086;1203;1493;2151
544;1086;1204;1506;2151
545;1086;1197;1467;2151
